,City,Coordinates,Temperature (F),Humidity (%),Cloud (%),Wind Speed (mph)
412,Discovery,"(63.52, -114.1)",-36.94,0,0,4.61
413,Kirkmichael,"(54.31, -4.71)",48.2,100,75,12.75
414,Cape Parry,"(70.56, -124.4)",-18.41,68,75,10.29
415,Colonesti,"(46.57, 27.34)",24.8,85,90,12.75
416,Hybord,"(53.34, -99.64)",-0.05,75,88,7.63
417,Anderson County,"(38.21, -95.18)",23.61,92,1,6.4
418,Kukol’,"(59.75, 32.82)",22.5,87,88,4.61
419,Colville Lake,"(67.46, -123.52)",-41.22,0,0,7.74
420,Saint Martins,"(12.87, -59.19)",77.0,78,20,14.99
421,Hetschburg,"(50.91, 11.31)",30.2,86,75,11.41
422,Sungaipenuh,"(-2.74, 100.66)",84.7,100,48,3.49
423,Monte Alegre,"(-1.75, -53.85)",70.47,100,92,2.37
424,Ainazi,"(57.99, 23.83)",26.6,92,90,3.36
425,Cold Lake,"(55.2, -110.24)",6.8,71,90,3.36
426,Killinick,"(52.21, -6.48)",44.6,93,75,5.06
427,Fort Vermilion,"(58.14, -114.99)",-8.87,65,80,5.73
428,Isachsen,"(79.55, -98.77)",-14.31,66,56,7.4
429,Dedza District,"(-14.33, 34.16)",78.75,86,64,6.73
430,Tungdor,"(29.19, 94.38)",19.99,73,80,1.36
431,Warracknabeal,"(-36.34, 142.39)",68.99,61,76,3.15
432,Iqaluit,"(64.94, -68.86)",-35.1,0,0,5.73
433,Vallejos,"(-14.34, -64.71)",75.2,94,40,6.93
434,Yekimtsevo,"(58.93, 42.07)",11.44,89,76,11.21
435,Atalaia do Norte,"(-5.02, -70.18)",73.26,94,80,2.48
436,Bearskin Lake,"(52.85, -91.42)",-27.41,82,40,2.37
437,Fuling,"(29.23, 107.68)",40.19,79,80,2.59
438,Severodvinsk,"(65.39, 37.76)",25.02,100,88,5.95
439,Puerto Chacabuco,"(-45.23, -73.16)",36.41,100,8,2.71
440,Ust’-Bol’sheretsk,"(53.48, 154.98)",22.24,100,64,19.26
441,Dunsborough,"(-32.99, 114.1)",65.61,100,12,18.7
442,Paris,"(39.58, -87.61)",17.71,84,1,5.82
443,Ust-Ulagan,"(51.09, 88.35)",12.96,67,76,2.15
444,Municipio Crespo,"(10.54, -69.23)",67.82,93,24,1.36
445,Haydan,"(16.71, 43.56)",77.54,15,0,4.38
446,Buldan,"(38.12, 28.84)",46.62,82,88,11.54
447,Namiquipa,"(29.34, -107.51)",45.14,94,92,4.5
448,Richey,"(47.75, -105.17)",17.96,80,1,5.82
449,Fiambala,"(-26.99, -68.26)",9.63,70,0,2.04
450,Novovvedenka,"(50.95, 58.73)",6.8,65,0,13.42
451,Nord-du-Québec,"(52.38, -73.79)",15.85,85,88,7.07
452,Fort Simpson,"(61.8, -122.07)",-14.81,75,90,2.24
453,Veinticinco de Mayo,"(-37.28, -67.64)",45.1,44,0,13.56
454,Tuktoyaktuk,"(69.09, -132.56)",-33.17,0,0,10.98
455,Mancora,"(-3.35, -81.53)",73.94,99,76,10.54
456,Moerai,"(-21.52, -150.84)",76.77,100,92,12.1
457,Cifuentes,"(40.79, -2.61)",26.87,76,0,17.58
458,Dalbandin,"(28.37, 63.6)",73.94,73,36,7.74
459,Ermidas-Sado,"(38.03, -8.3)",39.2,100,20,5.82
460,Tifni,"(31.67, -6.71)",25.07,59,0,2.15
461,Eoropie,"(58.79, -6.74)",48.2,87,40,10.29
462,Busembatia,"(0.84, 33.61)",79.79,80,8,4.38
463,Voyvozh,"(62.8, 53.92)",-10.53,71,48,3.04
464,Dofa,"(-0.92, 125.13)",84.16,100,8,8.19
465,Mega,"(3.9, 38.29)",78.62,29,56,13.56
466,Belaya Gora,"(68.8, 149.36)",-25.29,38,48,3.6
467,Weiser,"(44.21, -116.82)",35.06,78,75,3.36
468,Kuujjuarapik,"(55.75, -78.16)",5.0,92,90,13.87
469,Tasiujaq,"(58.3, -69.69)",4.86,76,92,4.72
470,Tsiigehtchic,"(66.93, -132.79)",-36.0,0,36,3.6
471,North Slope Borough,"(69.13, -150.44)",-30.64,50,44,0.69
472,Lobito,"(-11.96, 14.16)",76.5,66,20,3.94
473,Upper Nile State,"(10.33, 33.2)",89.73,35,0,13.0
474,Jacareacanga,"(-5.38, -58.67)",74.16,94,92,2.48
475,Kuttu Municipality,"(4.84, 153.0)",81.81,100,80,7.07
476,Avraga,"(47.42, 109.27)",9.59,59,0,2.59
477,Mamallapuram,"(12.36, 80.47)",78.21,96,0,11.1
478,Stykkisholmur,"(65.61, -21.78)",26.69,81,0,13.22
479,Région de Guelmim-Es Smara,"(28.75, -9.02)",38.52,49,0,1.92
480,Territory of the French Southern and Antarctic Lands,"(-43.32, 65.75)",53.1,100,0,29.66
481,Salym,"(59.06, 72.85)",-9.18,68,12,3.6
482,Namdrik,"(5.26, 166.89)",80.24,100,88,12.55
483,Provincia de Zamora Chinchipe,"(-4.69, -78.82)",63.36,94,76,2.48
484,Yevpatoriya,"(45.26, 33.47)",40.5,100,92,16.58
485,Kangiqsujuaq,"(61.25, -73.14)",-4.95,65,76,9.75
486,Marion,"(35.26, -90.16)",32.88,71,1,5.82
487,Thabazimbi,"(-24.57, 27.68)",92.25,33,0,7.52
488,Anadyr,"(65.05, 177.26)",14.0,85,90,49.21
489,Yanqi,"(41.65, 87.72)",14.95,92,32,2.93
490,Hot,"(18.15, 98.42)",72.72,89,36,1.92
491,Vao,"(-23.62, 167.22)",74.84,100,88,24.63
492,Bayanbaraat,"(46.97, 106.11)",10.17,57,0,3.04
493,Voyinka,"(45.95, 34.14)",36.41,100,88,9.98
494,Abu Qurqas,"(28.16, 32.17)",53.91,52,20,4.05
495,Rabochiy,"(59.55, 78.35)",-9.27,68,0,5.73
496,Tasiilaq,"(66.95, -37.79)",-26.14,29,8,22.84
497,Lanai City,"(20.7, -157.12)",67.68,96,90,17.22
498,Booker,"(36.62, -100.57)",37.54,42,1,17.22
499,Blagoveshchenka,"(52.85, 80.29)",6.26,81,68,8.75
